id,step_name,ui_version,tag,el_id,classes,name_attr,input_type,placeholder,aria_label,data_testid,text_content,role_attr,href,xpath_abs,parent_tag,parent_id,depth,sibling_index,siblings_count,bounding_w,bounding_h,bounding_x,bounding_y,page_url,form_context,nearby_label,captured_at
149,register_email_field,v1,input,register-email,"[""form-control""]",,email,name@example.com,,register-email,,,,"//input[@id=""register-email""]",div,,8,1,2,350.0,38.0,501.0,218.0,http://localhost:5173/register,form,,2026-05-26T17:55:48.789334
150,register_password_field,v1,input,register-password,"[""form-control""]",,password,••••••••,,register-password,,,,"//input[@id=""register-password""]",div,,8,1,2,350.0,38.0,501.0,303.0,http://localhost:5173/register,form,,2026-05-26T17:55:49.101855
151,register_button,v1,button,,"[""btn"", ""btn-success"", ""w-100"", ""py-2"", ""fw-bold"", ""mt-2""]",,submit,,,btn-register,Đăng ký,,,"//div[@id=""root""]/div[1]/div[1]/div[1]/form[1]/button[1]",form,,7,2,3,350.0,42.0,501.0,364.0,http://localhost:5173/register,form,,2026-05-26T17:55:49.362176
155,add_product_button,v1,a,,"[""btn"", ""btn-success"", ""rounded-pill"", ""px-4"", ""shadow""]",,,,,btn-add-product,+ Thêm sản phẩm mới,,http://localhost:5173/admin/add-product,"//div[@id=""root""]/div[1]/div[1]/a[1]",div,,5,0,1,209.0,38.0,564.0,142.0,http://localhost:5173/product,,,2026-05-26T18:00:00.687259
162,product_name_field,v1,input,,"[""form-control""]",name,text,Ví dụ: iPhone 16 Pro Max,,product-name,,,,"//div[@id=""root""]/div[1]/form[1]/section[1]/div[1]/div[1]/input[1]",div,,8,1,2,526.0,38.0,134.0,263.0,http://localhost:5173/admin/add-product,card p-4 shadow-lg border-0 bg-light,,2026-05-26T18:00:30.155252
168,product_price_field,v1,input,,"[""form-control""]",pr,number,,,product-price,,,,"//div[@id=""root""]/div[1]/form[1]/section[1]/div[1]/div[3]/input[1]",div,,8,1,2,255.0,38.0,947.0,263.0,http://localhost:5173/admin/add-product,card p-4 shadow-lg border-0 bg-light,,2026-05-26T18:00:45.816033
169,submit_product_button,v1,button,,"[""btn"", ""btn-dark"", ""btn-lg"", ""w-100"", ""rounded-pill"", ""shadow""]",,submit,,,btn-add-product,ĐĂNG BÁN SẢN PHẨM,,,"//div[@id=""root""]/div[1]/form[1]/button[1]",form,,5,5,6,1068.0,48.0,134.0,1018.0,http://localhost:5173/admin/add-product,card p-4 shadow-lg border-0 bg-light,,2026-05-26T18:00:46.115708
173,email_field,v1,input,login-email,"[""form-control"", ""${emailError"", ""?"", ""'is-invalid'"", "":"", ""''}`""]",,email,name@example.com,,login-email,,,,"//input[@id=""login-email""]",div,,8,1,2,350.0,38.0,501.0,218.0,http://localhost:5173/login,form,,2026-05-26T18:01:15.595460
174,password_field,v1,input,login-password,"[""form-control""]",,password,••••••••,,login-password,,,,"//input[@id=""login-password""]",div,,8,1,2,350.0,38.0,501.0,303.0,http://localhost:5173/login,form,,2026-05-26T18:01:15.897349
175,login_button,v1,button,btn-login,"[""btn"", ""btn-primary"", ""w-100"", ""py-2"", ""fw-bold""]",,submit,,,btn-login,Đăng nhập,,,"//button[@id=""btn-login""]",form,,7,2,3,350.0,42.0,501.0,364.0,http://localhost:5173/login,form,,2026-05-26T18:01:16.135913
