id,healing_event_id,step_name,ui_version,attr_score,sem_score,struct_score,visual_score,ctx_score,total_score,cand_tag,cand_testid,cand_text,is_correct,recorded_at
80,23,filter_iphone_button,v4,0.7616,0.7954,0.7596,0.7037,0.764,0.7722,button,v4-btn-filter-airpods,AIRPODS,0,2026-05-26 11:26:55
81,23,filter_iphone_button,v4,0.762,0.772,0.7471,0.7457,0.764,0.7611,button,v4-btn-filter-ipad,IPAD,0,2026-05-26 11:26:55
82,23,filter_iphone_button,v4,0.7542,0.6785,0.7891,0.6055,0.764,0.739,button,v4-btn-filter-macbook,MACBOOK,0,2026-05-26 11:26:55
83,23,filter_iphone_button,v4,0.7467,0.6707,0.7707,0.5397,0.764,0.7283,button,,Đăng xuất,0,2026-05-26 11:26:55
84,23,filter_iphone_button,v4,0.7643,0.7044,0.6836,0.5411,0.764,0.7219,button,v4-btn-delete-6a0d531fd7e08f5e9abf614b,Xóa sản phẩm,0,2026-05-26 11:26:55
85,24,filter_ipad_button,v4,0.7736,1.0,0.7596,0.6876,0.764,0.8444,button,v4-btn-filter-ipad,IPAD,1,2026-05-26 11:27:28
86,24,filter_ipad_button,v4,0.7644,0.8273,0.7721,0.6419,0.764,0.7873,button,v4-btn-filter-airpods,AIRPODS,0,2026-05-26 11:27:28
87,24,filter_ipad_button,v4,0.762,0.772,0.7891,0.5953,0.764,0.7729,button,v4-btn-filter-iphone,IPHONE,0,2026-05-26 11:27:28
88,24,filter_ipad_button,v4,0.7567,0.6891,0.7721,0.5436,0.764,0.7387,button,v4-btn-filter-macbook,MACBOOK,0,2026-05-26 11:27:28
89,24,filter_ipad_button,v4,0.7661,0.7286,0.6824,0.5369,0.764,0.7303,button,v4-btn-edit-6a1484639d2ea9edeb0b33b2,Sửa,0,2026-05-26 11:27:28
90,24,filter_ipad_button,v4,0.7661,0.7286,0.6824,0.5369,0.764,0.7303,button,v4-btn-edit-6a1484a99d2ea9edeb0b38e9,Sửa,0,2026-05-26 11:27:28
91,25,filter_macbook_button,v4,0.7746,1.0,0.7596,0.5401,0.764,0.8448,button,v4-btn-filter-macbook,MACBOOK,1,2026-05-26 11:28:02
92,25,filter_macbook_button,v4,0.7567,0.7286,0.7891,0.5832,0.764,0.7565,button,v4-btn-filter-airpods,AIRPODS,0,2026-05-26 11:28:02
93,25,filter_macbook_button,v4,0.7567,0.6891,0.7721,0.63,0.764,0.7387,button,v4-btn-filter-ipad,IPAD,0,2026-05-26 11:28:02
94,25,filter_macbook_button,v4,0.7542,0.6785,0.7721,0.5376,0.764,0.7342,button,v4-btn-filter-iphone,IPHONE,0,2026-05-26 11:28:02
